modelo,variable,lag,acf_orig,acf_imp,pacf_orig,pacf_imp
TBATS,precip,12,0.1403,-0.0141,0.1207,-0.0768
TBATS,precip,13,-0.0017,0.0338,-0.0436,0.0199
TBATS,precip,14,-0.0047,-0.005,-0.0354,0.017
TBATS,precip,15,-0.0368,-0.0237,-0.006,-0.0222
TBATS,precip,16,-0.0396,-0.0313,-0.0262,-0.0365
TBATS,precip,17,-0.0247,0.0019,-0.0089,0.0021
TBATS,precip,18,0.0684,0.092,0.0966,0.1374
TBATS,precip,19,0.1952,0.0845,0.2087,0.0858
TBATS,precip,20,0.1473,0.2135,0.0914,0.1681
TBATS,evap,0,1.0,1.0,1.0,1.0
TBATS,evap,1,0.4145,0.1576,0.4209,0.1601
TBATS,evap,2,0.254,0.1587,0.1032,0.1418
TBATS,evap,3,0.0995,-0.019,-0.0467,-0.0682
TBATS,evap,4,0.0203,-0.2086,-0.0372,-0.2454
TBATS,evap,5,0.0342,-0.1759,0.0492,-0.1269
TBATS,evap,6,-0.0361,-0.0479,-0.0726,0.0736
TBATS,evap,7,-0.0113,-0.0969,0.0178,-0.0697
TBATS,evap,8,-0.0778,0.0536,-0.0882,0.0235
TBATS,evap,9,0.019,-0.0688,0.1097,-0.1491
TBATS,evap,10,-0.0217,-0.1348,-0.0569,-0.2027
TBATS,evap,11,-0.0239,-0.0993,-0.0208,-0.0943
TBATS,evap,12,-0.0266,0.0782,-0.0203,0.2164
TBATS,evap,13,-0.0271,0.0844,0.0118,0.1206
TBATS,evap,14,0.1425,-0.0164,0.2328,-0.2856
TBATS,evap,15,-0.034,0.0518,-0.239,-0.1048
TBATS,evap,16,-0.1318,-0.104,-0.2275,-0.1103
TBATS,evap,17,0.0381,-0.1397,0.3714,-0.0891
TBATS,evap,18,0.0854,-0.23,0.1332,-0.3406
TBATS,evap,19,0.2329,-0.1264,0.202,-0.1949
TBATS,evap,20,0.0526,0.1034,-0.3635,0.2276
TBATS,tmax,0,1.0,1.0,1.0,1.0
TBATS,tmax,1,0.8878,0.6321,0.8919,0.635
TBATS,tmax,2,0.783,0.6474,-0.0254,0.4192
TBATS,tmax,3,0.6951,0.5724,0.0232,0.1489
TBATS,tmax,4,0.6198,0.5094,0.0124,0.0177
TBATS,tmax,5,0.5696,0.4508,0.0852,-0.0185
TBATS,tmax,6,0.5192,0.4261,-0.0218,0.0419
TBATS,tmax,7,0.4825,0.394,0.0547,0.0459
TBATS,tmax,8,0.4717,0.3648,0.1223,0.022
TBATS,tmax,9,0.4536,0.3544,-0.0156,0.0414
TBATS,tmax,10,0.4444,0.3606,0.0609,0.0844
TBATS,tmax,11,0.4428,0.3402,0.0677,0.0311
TBATS,tmax,12,0.4311,0.3345,-0.0108,0.0172
